transaction_id,amount,type,address,block
0xc2adf2e817d9d71264624ec23a20ac57d31e4c7c6ad46c2048db1e5d05f1936b,14.99,deposit,0x1ae48c6f0439716812b1a7022b384eaf72e25316,19373135
0x3b2278be40f9d392790f34251b82f3b415963feccf2b8ba6ee82b3fef73b8b6f,0.02,deposit,0x5eeedc03d2e2b95159399d2bad9c9ec7ff580496,19373639
0xc36a1918cbcb1fbb4ef080dfa637615a70ac83cc27ac130cd9350da6367a736a,0.0143,deposit,0x37b561f7bc6af073c92e2d89ad93cb298783ed2f,19374079
0x708ca61642c9d4550d5ff12c2ab4f9005d35803f820a53af92c32f84a984c7da,0.021,deposit,0x7e04659c125f0e57579d0edfdf20c115284fa1fc,19374579
0xb14fc9038ca908735f9884ca4d3882200f0ce1ebd08dc949cf5e27a94db5295b,0.02,deposit,0xb9e020ecdb47ab64a6ecdc1085aee39722da8e52,19374657
0xde2227740abe922318152c2371721e9444f42d7b9d502a6b47e447cc3d688e2b,1.019509135153010503,withdrawal,0x947fae3bc2ca6b3d594dc0affa3c2b63fa8e9f7f,19374881
0x1cb1588fc543612061ed96b2f9e9c8f9d07537a8cd4d82f931bdeedbbc8878c4,0.26,deposit,0x62a45b8779515f6aa494523f15cdfdcdd63ea750,19375013
0x6a49923f428f422fb337bb4a3a258f4d26980ed4775737cb6784ccd0a547491e,0.248,deposit,0x6ab5be41ea48bcaca06bf0179e83422798354a8e,19375969
0xc0e406768da476b7586fddb972933892da3ff4721262612cb34b77f7e5172e7a,0.02,deposit,0x96132e97ddf9ebce65f8046caef1a91b84a33645,19376512
0xb2496abcf4e30967a42ac4e5677ee201deb891e59b62a354ad00b2a2dfa81d19,0.09,deposit,0xca730c0bbefb0b4456e91dca158e3fb6a7c387eb,19376514
0x41321dd0b0731edc20ecf9a6cfd5c26a4d4567b3ed1cda592edcd889f9c501de,1,deposit,0xe22bca3741accb8852da6df4033efbd60f225b62,19376611
0xa9c181f7685fee4d8afb80d1959c28da6fe15083cbf391e7a89b46d4413ebebe,0.015,deposit,0x27b7d7769f341a1be0bb84f05accc59ab272d442,19377021
0xe99457f53b650d81b7400603457ea9ecc7a9912bae04dc567137258890203dab,0.3,withdrawal,0xccd2ba533456851c191266f84698b98ef57b5de6,19377261
0x71cc7b63fd61ef363386d65958de3a47eea04b9980e9a8ecfc05ae5558744423,0.166173352050200825,withdrawal,0x65d650e7d94a174e48c814167e4375631460e365,19377436
0x8f170f68a1433431fab1643c90bc0e26ff005043124d0f80a6c395d3460ac3c6,0.06193436505663123,deposit,0x7e92401a45df0c483153ecdcb8ac1dbcf8638dbb,19377593
0x3ce0970f4d2d6e74fe80e441718dfdf54b68dd7cb87c97fcef05fd168af4ebcc,0.031434270571612783,withdrawal,0xb9e020ecdb47ab64a6ecdc1085aee39722da8e52,19377764
0x934b2566035c9f69e77f33af77d7b7c46944670423aaea2d43f33a056b114db6,0.002480831510077147,deposit,0x79239488a70f95ef52d33138d31a3411826e35fc,19377863
0xb6309764dc47fa5a2a159cf4a59c2a7568ecab2a9590f100736cb0c89ed439b1,0.01451887,deposit,0x62469cf71ab951894299740503d9914aa71c237b,19378062
0xf76ae6d11519ba2effc56a478f85fb90d7485df16f00983b60d6447388524ee6,0.81314357638888889,withdrawal,0x4c2d82e8eb510622721ef225829caadd5aceb9b3,19378277
0x018e482830173d7d3df4b0148f92af0f58a2fd8ce73ac671ab6c9fd9a1361143,0.005,deposit,0x8bbd018ed4b47a00b00431660be19d3a7c31a41a,19378827
0x2ebb571d6c08cc65c64bfdf9a385b1ee71b68547b44e966ec199c48b27f59a53,0.003,deposit,0xfd49ecf3e8c6a7b1e074d26205202a4075f43166,19379624
0xf592a48972006e1067fcda6aa3a342c0f6ef0a7a47d43e89b6c6385252832372,0.003,deposit,0x956389d7fec3eb86e4a9f613acc32c20d9857ac3,19379984
0xfdde256be30277d5fb8d438b162aef19d508df9fd635149156a1ae0a0060700d,10,withdrawal,0x2680a824b7cd2e4db87605ba5b281fa7fcfb0bc1,19380014
0x4161b13adfbb031462c3579099804b36ee3006cd4d391fa1a1377467dd2663d4,204.188643189978986367,withdrawal,0x703bf28f547ea61aeb4b9aca5c075ef1785cf80b,19380215
0xcafb95e9f79efabc9fa72b1c2f020fe79148b0d28c9ed1ce6a89312f4811cd38,0.008823462815360488,deposit,0x62f79aa6e98519927949629a8d0e5e22531c0a5f,19380291
0x2cc8743c6c24c12e76134094c80bbd58ad18fff448a424e9c85113bd67cab0ff,0.075850050350422194,deposit,0x332a212a3ad7da98ad4ccdd3cf44989331412e25,19380496
0xd592e7e459584ae455f2107c40a6ae62d8a05f8f4376b94fb2ddda3f4c93cdca,0.07,deposit,0x14818e401a5f8f9acf3ebd21ded8f97e02077153,19380605
0xbb3640c347b5987901015120d496fa8a75f9899a6e9ee50e8c9f94ba7b691e9f,0.105266226717486661,deposit,0x91434a5f3719535e349a36e208060569b74ad213,19380693
0xb420e2486ad2198c3e2440794c8ba46271c81656fab33ded2ab5fb5fa3432b87,0.0408,withdrawal,0x18e3779af3f841b22a17ce9b2aadb5c6bd01c236,19380855
0xcd07b856c6f0579d269db22c8f71d4be73a629141e35c27721aa03cb8b3da0ff,0.01157274702508,deposit,0x995f3bd7d704907e375823887db8dea62b3659cc,19381026
0xe28c5020fd1284065aeb654905ab0778ab2fbde1407fbf309907ca563da88080,0.178058693975490938,withdrawal,0x19d2efac06db9fe41f479dbbe961c3fd339c6e27,19381142
0x8ef69ae5b8ace3c77de3f25500dda98dcb63d7c4fd5a5f323c3091bc9283eb97,1,withdrawal,0xfe131741b39327b55fdbfe37582ee8c90cec1529,19381545
0x74068aabed9327570e5e0e6fbab2b07147ab9930bae8a9f92046083c2c65c7fd,0.02,withdrawal,0xdb6ec5afaadfd1d7242236f42b37ce49115fe117,19382643
0xaa4df71085d5b0797220cb7a71c650d41240b4ba48d64bcbb9c20c8539a30330,1.616630658320642952,withdrawal,0xdb6ec5afaadfd1d7242236f42b37ce49115fe117,19382718
0x1f1391680d038e7bb7518430027f040b163eca28c46c24a65e7bdc86e68734c1,0.4,deposit,0x34450a0317eda124bf16bc65f25fcc2f11b775cd,19382841
